"Barcode","variable","value","Batch","Rep","gene","ploidy","class"
19219,"A.DE1.PCRa_fitness",0.365416574292163,"DE","fitness","other","NotSequenced","other"
19296,"A.DE1.PCRa_fitness",0.814779840631462,"DE","fitness","IRA1","Haploid","PKA"
19297,"A.DE1.PCRa_fitness",0.55823604725588,"DE","fitness","Diploid","Diploid","Diploid"
19379,"A.DE1.PCRa_fitness",0.334049767354591,"DE","fitness","other","NotSequenced","other"
19407,"A.DE1.PCRa_fitness",0.756877904634942,"DE","fitness","other","NotSequenced","other"
19697,"A.DE1.PCRa_fitness",0.407320966845257,"DE","fitness","other","Diploid","other"
19707,"A.DE1.PCRa_fitness",0.608699761864247,"DE","fitness","other","NotSequenced","other"
19795,"A.DE1.PCRa_fitness",0.357993265122002,"DE","fitness","other","Diploid","other"
19894,"A.DE1.PCRa_fitness",0.0790579924466682,"DE","fitness","other","Haploid","other"
20083,"A.DE1.PCRa_fitness",0.373307106828412,"DE","fitness","other","NotSequenced","other"
20464,"A.DE1.PCRa_fitness",0.389612471401532,"DE","fitness","other","NotSequenced","other"
20632,"A.DE1.PCRa_fitness",0.0387142048135186,"DE","fitness","other","Haploid","other"
20873,"A.DE1.PCRa_fitness",0.900408885274173,"DE","fitness","IRA1","Haploid","PKA"
20967,"A.DE1.PCRa_fitness",0.830820689015513,"DE","fitness","PDE2","Haploid","PKA"
21440,"A.DE1.PCRa_fitness",0.312628571327336,"DE","fitness","other","NotSequenced","other"
21543,"A.DE1.PCRa_fitness",0.474455236757507,"DE","fitness","TOR1","Haploid","PKA"
21625,"A.DE1.PCRa_fitness",0.348757618410858,"DE","fitness","Diploid","Diploid","Diploid"
21956,"A.DE1.PCRa_fitness",0.825091031839697,"DE","fitness","IRA2","Haploid","PKA"
21967,"A.DE1.PCRa_fitness",1.12183738564457,"DE","fitness","IRA1","Haploid","PKA"
22011,"A.DE1.PCRa_fitness",0.783303615570372,"DE","fitness","Diploid","Diploid","Diploid"
22162,"A.DE1.PCRa_fitness",0.503168307341715,"DE","fitness","other","NotSequenced","other"
22360,"A.DE1.PCRa_fitness",0.375337030534581,"DE","fitness","other","Diploid","other"
22372,"A.DE1.PCRa_fitness",0.293345379822893,"DE","fitness","other","NotSequenced","other"
22469,"A.DE1.PCRa_fitness",0.357940817305361,"DE","fitness","other","Diploid","other"
22669,"A.DE1.PCRa_fitness",0.259755218492921,"DE","fitness","other","NotSequenced","other"
23065,"A.DE1.PCRa_fitness",0.850704186285215,"DE","fitness","other","NotSequenced","other"
23688,"A.DE1.PCRa_fitness",0.762067472973413,"DE","fitness","GPB2","Haploid","PKA"
23712,"A.DE1.PCRa_fitness",1.16028406489513,"DE","fitness","other","NotSequenced","other"
23868,"A.DE1.PCRa_fitness",1.05963362620376,"DE","fitness","IRA1","Haploid","PKA"
24151,"A.DE1.PCRa_fitness",0.041019180232986,"DE","fitness","other","NotSequenced","other"
24362,"A.DE1.PCRa_fitness",0.0120351665704306,"DE","fitness","other","NotSequenced","neutral spikein"
24737,"A.DE1.PCRa_fitness",0.620179176561406,"DE","fitness","KOG1","Haploid","PKA"
24858,"A.DE1.PCRa_fitness",0.429492750914381,"DE","fitness","other","Diploid","other"
25531,"A.DE1.PCRa_fitness",1.06459678829243,"DE","fitness","other","NotSequenced","other"
25747,"A.DE1.PCRa_fitness",0.731624616448667,"DE","fitness","IRA2","Haploid","PKA"
25780,"A.DE1.PCRa_fitness",1.05537227443074,"DE","fitness","IRA1","Haploid","PKA"
26106,"A.DE1.PCRa_fitness",0.337745482957196,"DE","fitness","Diploid","Diploid","Diploid"
26612,"A.DE1.PCRa_fitness",0.124133446782229,"DE","fitness","other","Haploid","other"
27346,"A.DE1.PCRa_fitness",0.394732016131035,"DE","fitness","Diploid","Diploid","Diploid"
27473,"A.DE1.PCRa_fitness",0.396802205948135,"DE","fitness","other","NotSequenced","other"
28533,"A.DE1.PCRa_fitness",0.34526822275355,"DE","fitness","Diploid","Diploid","Diploid"
28740,"A.DE1.PCRa_fitness",1.12811613917554,"DE","fitness","IRA1","Haploid","PKA"
28888,"A.DE1.PCRa_fitness",0.359985438127631,"DE","fitness","Diploid","Diploid","Diploid"
29375,"A.DE1.PCRa_fitness",0.0360836160209718,"DE","fitness","other","Haploid","other"
29473,"A.DE1.PCRa_fitness",1.13562763699715,"DE","fitness","other","NotSequenced","other"
29840,"A.DE1.PCRa_fitness",0.335684671738511,"DE","fitness","Diploid","Diploid","Diploid"
30578,"A.DE1.PCRa_fitness",1.06902143987417,"DE","fitness","IRA1","Haploid","PKA"
30769,"A.DE1.PCRa_fitness",0.336868706458651,"DE","fitness","other","Diploid","other"
30795,"A.DE1.PCRa_fitness",0.373286292860934,"DE","fitness","other","NotSequenced","other"
31360,"A.DE1.PCRa_fitness",1.09543603842807,"DE","fitness","IRA1","Haploid","PKA"
31607,"A.DE1.PCRa_fitness",0.352835682792504,"DE","fitness","other","Diploid","other"
32075,"A.DE1.PCRa_fitness",0.253737698069382,"DE","fitness","other","NotSequenced","other"
32201,"A.DE1.PCRa_fitness",0.361187631031428,"DE","fitness","other","NotSequenced","other"
32262,"A.DE1.PCRa_fitness",0.558109289379993,"DE","fitness","IRA2","Haploid","PKA"
32675,"A.DE1.PCRa_fitness",0.385412584921283,"DE","fitness","other","NotSequenced","other"
32685,"A.DE1.PCRa_fitness",0.329352706831788,"DE","fitness","Diploid","Diploid","Diploid"
33617,"A.DE1.PCRa_fitness",0.730547026743157,"DE","fitness","GPB2","Haploid","PKA"
33976,"A.DE1.PCRa_fitness",0.377926850962501,"DE","fitness","other","NotSequenced","other"
34189,"A.DE1.PCRa_fitness",0.0692790093155523,"DE","fitness","other","Haploid","other"
34808,"A.DE1.PCRa_fitness",0.341978361575842,"DE","fitness","other","NotSequenced","other"
35898,"A.DE1.PCRa_fitness",0.355193165411039,"DE","fitness","Diploid","Diploid","Diploid"
37238,"A.DE1.PCRa_fitness",0.38621856092813,"DE","fitness","Diploid","Diploid","Diploid"
37241,"A.DE1.PCRa_fitness",0.338847619756386,"DE","fitness","other","Diploid","other"
38775,"A.DE1.PCRa_fitness",0.279677042823032,"DE","fitness","other","NotSequenced","other"
39066,"A.DE1.PCRa_fitness",0.0444207292442836,"DE","fitness","other","NotSequenced","other"
39270,"A.DE1.PCRa_fitness",0.379503787265214,"DE","fitness","other","NotSequenced","other"
39633,"A.DE1.PCRa_fitness",0.0676956542736055,"DE","fitness","other","Haploid","other"
39674,"A.DE1.PCRa_fitness",0.509409607881986,"DE","fitness","GPB1","Haploid","PKA"
40409,"A.DE1.PCRa_fitness",1.00799485547068,"DE","fitness","IRA1","Haploid","PKA"
40779,"A.DE1.PCRa_fitness",0.356439889524912,"DE","fitness","Diploid","Diploid","Diploid"
40865,"A.DE1.PCRa_fitness",0.57276536218235,"DE","fitness","other","Diploid","other"
41484,"A.DE1.PCRa_fitness",0.354270944198687,"DE","fitness","Diploid","Diploid","Diploid"
41601,"A.DE1.PCRa_fitness",0.0461616509130856,"DE","fitness","other","Haploid","other"
42040,"A.DE1.PCRa_fitness",-0.0271029996483733,"DE","fitness","other","NotSequenced","neutral spikein"
42331,"A.DE1.PCRa_fitness",0.863297824933952,"DE","fitness","other","NotSequenced","other"
42575,"A.DE1.PCRa_fitness",0.356594212656292,"DE","fitness","other","NotSequenced","other"
43155,"A.DE1.PCRa_fitness",0.406133097206447,"DE","fitness","TFS1","Haploid","PKA"
43361,"A.DE1.PCRa_fitness",0.748484320150928,"DE","fitness","IRA1","Haploid","PKA"
43483,"A.DE1.PCRa_fitness",1.04770581268547,"DE","fitness","other","NotSequenced","other"
43692,"A.DE1.PCRa_fitness",0.65184619021931,"DE","fitness","CYR1","Haploid","PKA"
44777,"A.DE1.PCRa_fitness",0.376790326317477,"DE","fitness","other","NotSequenced","other"
44905,"A.DE1.PCRa_fitness",0.408878151637109,"DE","fitness","other","Diploid","other"
44966,"A.DE1.PCRa_fitness",0.347959802101313,"DE","fitness","other","NotSequenced","other"
44971,"A.DE1.PCRa_fitness",0.329517368719932,"DE","fitness","other","NotSequenced","other"
45031,"A.DE1.PCRa_fitness",0.179163784385373,"DE","fitness","other","Haploid","other"
45512,"A.DE1.PCRa_fitness",0.0436809160479141,"DE","fitness","other","NotSequenced","other"
45865,"A.DE1.PCRa_fitness",0.702495305500833,"DE","fitness","other","NotSequenced","other"
46200,"A.DE1.PCRa_fitness",0.36003011653561,"DE","fitness","other","NotSequenced","other"
46313,"A.DE1.PCRa_fitness",0.371554768445674,"DE","fitness","Diploid","Diploid","Diploid"
46938,"A.DE1.PCRa_fitness",0.425624391024509,"DE","fitness","other","NotSequenced","other"
47877,"A.DE1.PCRa_fitness",0.351494339121207,"DE","fitness","Diploid","Diploid","Diploid"
48822,"A.DE1.PCRa_fitness",0.501716750156029,"DE","fitness","other","NotSequenced","other"
48904,"A.DE1.PCRa_fitness",0.352898136557906,"DE","fitness","other","NotSequenced","other"
49174,"A.DE1.PCRa_fitness",0.0268090414039951,"DE","fitness","other","Haploid","other"
50232,"A.DE1.PCRa_fitness",0.367870363763998,"DE","fitness","Diploid","Diploid","Diploid"
50286,"A.DE1.PCRa_fitness",0.365774606523439,"DE","fitness","other","Diploid","other"
50878,"A.DE1.PCRa_fitness",0.377743562281775,"DE","fitness","other","NotSequenced","other"
50880,"A.DE1.PCRa_fitness",0.379949289872556,"DE","fitness","other","NotSequenced","other"
51200,"A.DE1.PCRa_fitness",0.385602270180704,"DE","fitness","Diploid","Diploid","Diploid"
51455,"A.DE1.PCRa_fitness",0.305326098670582,"DE","fitness","other","NotSequenced","other"
52221,"A.DE1.PCRa_fitness",0.327275391528503,"DE","fitness","other","Diploid","other"
52560,"A.DE1.PCRa_fitness",0.365661902807437,"DE","fitness","other","NotSequenced","other"
53054,"A.DE1.PCRa_fitness",-0.110721222146208,"DE","fitness","other","NotSequenced","other"
53230,"A.DE1.PCRa_fitness",0.371562957875763,"DE","fitness","other","NotSequenced","other"
54461,"A.DE1.PCRa_fitness",0.0794295106979539,"DE","fitness","other","Haploid","other"
55340,"A.DE1.PCRa_fitness",0.409023361902077,"DE","fitness","Diploid","Diploid","Diploid"
55577,"A.DE1.PCRa_fitness",0.383642156176143,"DE","fitness","other","NotSequenced","other"
55847,"A.DE1.PCRa_fitness",0.34241354212594,"DE","fitness","Diploid","Diploid","Diploid"
57117,"A.DE1.PCRa_fitness",1.1233448058131,"DE","fitness","IRA1","Haploid","PKA"
57408,"A.DE1.PCRa_fitness",0.351677648195539,"DE","fitness","Diploid","Diploid","Diploid"
58107,"A.DE1.PCRa_fitness",0.00937857252158135,"DE","fitness","other","Haploid","other"
58189,"A.DE1.PCRa_fitness",0.385379276938645,"DE","fitness","Diploid","Diploid","Diploid"
58400,"A.DE1.PCRa_fitness",0.342432928034077,"DE","fitness","other","Diploid","other"
59345,"A.DE1.PCRa_fitness",0.371636136301515,"DE","fitness","other","NotSequenced","other"
59822,"A.DE1.PCRa_fitness",0.364819559815731,"DE","fitness","other","NotSequenced","other"
59999,"A.DE1.PCRa_fitness",0.452930410950257,"DE","fitness","other","NotSequenced","other"
60333,"A.DE1.PCRa_fitness",0.0999392823643945,"DE","fitness","other","NotSequenced","other"
60549,"A.DE1.PCRa_fitness",0.0319636015170338,"DE","fitness","other","Haploid","other"
60700,"A.DE1.PCRa_fitness",0.543612419843526,"DE","fitness","other","Haploid","other"
