BarcodeID,CellBatch1_fitness,24h_fitness,48h_fitness,72h_fitness,96h_fitness,120h_fitness,168h_fitness,4gen_fitness,6gen_fitness,8gen_fitness,8gen_2_fitness,9gen_fitness,CellBatch1_err,24h_err,48h_err,72h_err,96h_err,120h_err,168h_err,4gen_err,6gen_err,8gen_err,8gen_2_err,9gen_err,Global EC Fitness,Global EC Error,CloneID,Ploidy,Class,Mutated Gene,Mutation Type,Batch,Fermentation_Dependent_Component,Respiration_Dependent_Component,Stationary_Dependent_Rate,Cluster (Figure S6BC), 
312944,0.266732639,0.306847985,0.248989,0.32327385,0.387991443,0.403023982,0.288585901,0.14733681,0.165537499,0.220586216,0.299146841,0.339741977,0.072939843,0.126467869,0.201686,0.141678551,0.1639168,0.1062737,0.120854274,0.089327739,0.072374906,0.07550189,0.081976936,0.069647301,0.25982483,0.043162321,131016-1-H8,Diploid,pure_diploids,NA,NA,NA,0.314089127,-0.067502149,-0.000584623,NA,
312986,0.288947479,0.385410499,0.632387,0.706797245,0.774025446,0.912339933,0.71176569,0.21398816,0.256678241,0.369350405,0.361593852,0.489385956,0.055320744,0.117971055,0.134865,0.101199493,0.092974129,0.079017752,0.091802849,0.073335308,0.05680572,0.063897405,0.067981229,0.056708568,0.353350163,0.03444094,131017-4-C2,Diploid,high_fitness_diploids,NA,NA,NA,0.436684891,0.288139251,-1.80E-05,5,
313400,0.297741751,0.36275779,0.234521,0.32600822,0.405276122,0.545776657,0.512845737,0.187226515,0.164507418,0.218665756,0.368605368,0.362006065,0.070068915,0.124928042,0.208121,0.149519378,0.144040295,0.101931036,0.11691532,0.08792794,0.072579322,0.073121791,0.0784933,0.068004958,0.28950119,0.041662999,131101-1-F11,Diploid,pure_diploids,NA,NA,NA,0.315278801,-0.149609588,0.001784018,NA,
313573,-0.055417563,-0.023060842,-0.012105725,-0.14239365,0.047189428,-0.141577178,0.088759416,0.071030791,0.009629433,0.044607098,0.00115568,0.027673502,0.061669571,0.127955066,0.128791126,0.135588747,0.149578167,0.116821237,0.127387765,0.076545951,0.067852713,0.074440102,0.083770763,0.075338569,-0.01096703,0.039338668,131016-1-B10,Haploid,neutral_haploids,NA,NA,NA,-0.054248632,0.012780969,0.001894822,NA,
313863,0.24716975,0.247782189,0.0535119,0.262887161,0.320219541,0.412581175,0.352361007,0.060814403,0.049032666,0.077395254,0.28296389,0.192589844,0.047802367,0.116570866,0.148055,0.098568587,0.10628045,0.084672518,0.09137287,0.061772072,0.049724996,0.059791762,0.058625538,0.052775137,0.203609523,0.030803294,E2-88-8-E3,Diploid,pure_diploids,NA,NA,NA,0.271697322,-0.22664867,0.000891845,NA,
314150,0.225213315,0.343373772,0.370695551,0.531715072,0.681357579,0.840203623,0.757465996,0.163526256,0.157455992,0.206671307,0.331071627,0.390678591,0.050095849,0.116547953,0.109320001,0.094949662,0.093425177,0.07962404,0.086519182,0.064354941,0.050967531,0.061271192,0.061996585,0.054606016,0.259689561,0.031486228,E2-88-9-B12,Diploid,high_fitness_diploids,NA,NA,NA,0.365828265,0.031875409,0.002154847,5,
314181,0.150330568,0.330634414,0.111633,0.350070434,0.387925679,0.53968664,0.315008566,0.174073207,0.217657774,0.296537388,0.294227032,0.394712439,0.063946169,0.122699586,0.183857,0.120797037,0.126666674,0.095507697,0.119729707,0.080372356,0.060810489,0.06640248,0.070562479,0.063404198,0.237131626,0.037748764,131017-5-C8,Diploid,pure_diploids,NA,NA,NA,0.339039938,-0.25550165,-0.000224652,NA,
314224,0.058160791,0.018282059,-0.00523754,0.174780363,-0.000228084,0.038712573,0.218362274,-0.0045607,0.016076709,-0.015471137,-0.095860115,-0.005179122,0.063797523,0.129969279,0.193367,0.144745363,0.169261125,0.116064775,0.129854336,0.085279683,0.076337105,0.083285239,0.091316409,0.085733194,0.000789082,0.043172218,E2-88-8-D7,Haploid,neutral_haploids,NA,NA,NA,-0.06085864,-0.027439532,0.00094947,NA,
314248,-0.001026828,0.050536166,0.081572384,0.19416707,0.175185698,-0.083903102,0.137118743,-0.017968955,0.004119833,0.001429612,0.083871443,0.090747294,0.086713186,0.144477884,0.202443973,0.201475107,0.223181124,0.146609074,0.163243292,0.111028792,0.099418848,0.098853575,0.118905326,0.114588716,0.024003996,0.055010263,131017-5-E11,Haploid,neutral_haploids,NA,NA,NA,0.149146322,0.036208921,-0.000499067,NA,
314442,-0.104101632,-0.048497394,-0.371919,-0.267844,-0.012307153,-0.136708877,-0.03029824,0.088746334,0.054563709,0.014305069,0.039929922,-0.031417232,0.096795031,0.157949552,0.348226,0.364128,0.262554136,0.198436172,0.193995582,0.126688677,0.120352552,0.116643415,0.13530232,0.120507937,-0.04502423,0.064136584,131017-3-C5,Haploid,neutral_haploids,NA,NA,NA,-0.168522276,-0.377325206,0.001356055,NA,
314537,0.217337396,0.262365339,0.357381,0.451969551,0.480519983,0.33955759,0.454982751,0.092540206,0.100045123,0.106341213,0.258061979,0.228991177,0.060620719,0.120319787,0.186068,0.129110586,0.155487823,0.097401661,0.1096943,0.070576847,0.062280171,0.069560038,0.070242939,0.062287033,0.202357411,0.037520187,E2-88-3-A10,Diploid,pure_diploids,NA,NA,NA,0.22980573,0.110851604,-3.43E-05,NA,
314728,0.219785975,0.353062646,0.336572,0.343055505,0.418781869,0.41476098,0.474669605,0.233762177,0.21810213,0.238423769,0.280985076,0.39185092,0.05717029,0.119609839,0.149159,0.111558804,0.135609622,0.09371675,0.107885429,0.074232238,0.059488723,0.06645762,0.067877731,0.05998652,0.248427686,0.035480546,131209-2-A10,Diploid,pure_diploids,NA,NA,NA,0.223367484,-0.019239087,0.001257704,NA,
314733,0.048591042,-0.113437684,0.04324424,0.063054137,-0.100282144,0.034647404,0.016744362,0.043120004,0.080350616,0.055214021,-0.069173859,-0.043294315,0.068376276,0.136671795,0.161077818,0.144286252,0.207614635,0.112216003,0.13237174,0.08573828,0.07634798,0.081025493,0.093227889,0.08660602,0.024068857,0.043861064,131017-2-G3,Haploid,neutral_haploids,NA,NA,NA,-0.151537914,0.182795578,-0.000160744,NA,
